Person,Shot,Scene,Full
0,1,1,Calloused_Hands-1-shot_1
1,1,1,Calloused_Hands-1-shot_1
2,1,1,Calloused_Hands-1-shot_1
3,1,1,Calloused_Hands-1-shot_1
4,1,1,Calloused_Hands-1-shot_1
5,1,1,Calloused_Hands-1-shot_1
6,1,1,Calloused_Hands-1-shot_1
7,1,1,Calloused_Hands-1-shot_1
8,1,1,Calloused_Hands-1-shot_1
9,1,1,Calloused_Hands-1-shot_1
10,2,1,Calloused_Hands-1-shot_2
11,2,1,Calloused_Hands-1-shot_2
12,2,1,Calloused_Hands-1-shot_2
13,2,1,Calloused_Hands-1-shot_2
14,2,1,Calloused_Hands-1-shot_2
15,2,1,Calloused_Hands-1-shot_2
16,2,1,Calloused_Hands-1-shot_2
17,3,1,Calloused_Hands-1-shot_3
18,3,1,Calloused_Hands-1-shot_3
19,3,1,Calloused_Hands-1-shot_3
20,3,1,Calloused_Hands-1-shot_3
21,3,1,Calloused_Hands-1-shot_3
22,3,1,Calloused_Hands-1-shot_3
23,3,1,Calloused_Hands-1-shot_3
24,3,1,Calloused_Hands-1-shot_3
25,3,1,Calloused_Hands-1-shot_3
26,3,1,Calloused_Hands-1-shot_3
27,3,1,Calloused_Hands-1-shot_3
28,3,1,Calloused_Hands-1-shot_3
29,3,1,Calloused_Hands-1-shot_3
30,3,1,Calloused_Hands-1-shot_3
31,3,1,Calloused_Hands-1-shot_3
32,3,1,Calloused_Hands-1-shot_3
33,3,1,Calloused_Hands-1-shot_3
34,3,1,Calloused_Hands-1-shot_3
35,3,1,Calloused_Hands-1-shot_3
36,3,1,Calloused_Hands-1-shot_3
37,3,1,Calloused_Hands-1-shot_3
38,3,1,Calloused_Hands-1-shot_3
39,3,1,Calloused_Hands-1-shot_3
40,3,1,Calloused_Hands-1-shot_3
41,3,1,Calloused_Hands-1-shot_3
42,3,1,Calloused_Hands-1-shot_3
43,3,1,Calloused_Hands-1-shot_3
44,3,1,Calloused_Hands-1-shot_3
45,3,1,Calloused_Hands-1-shot_3
46,3,1,Calloused_Hands-1-shot_3
47,3,1,Calloused_Hands-1-shot_3
48,3,1,Calloused_Hands-1-shot_3
49,3,1,Calloused_Hands-1-shot_3
50,3,1,Calloused_Hands-1-shot_3
51,3,1,Calloused_Hands-1-shot_3
52,3,1,Calloused_Hands-1-shot_3
53,3,1,Calloused_Hands-1-shot_3
54,3,1,Calloused_Hands-1-shot_3
55,3,1,Calloused_Hands-1-shot_3
56,3,1,Calloused_Hands-1-shot_3
57,3,1,Calloused_Hands-1-shot_3
58,3,1,Calloused_Hands-1-shot_3
59,3,1,Calloused_Hands-1-shot_3
60,3,1,Calloused_Hands-1-shot_3
61,3,1,Calloused_Hands-1-shot_3
62,3,1,Calloused_Hands-1-shot_3
63,3,1,Calloused_Hands-1-shot_3
64,3,1,Calloused_Hands-1-shot_3
65,3,1,Calloused_Hands-1-shot_3
66,4,1,Calloused_Hands-1-shot_4
67,4,1,Calloused_Hands-1-shot_4
68,4,1,Calloused_Hands-1-shot_4
69,4,1,Calloused_Hands-1-shot_4
70,4,1,Calloused_Hands-1-shot_4
71,4,1,Calloused_Hands-1-shot_4
72,4,1,Calloused_Hands-1-shot_4
73,4,1,Calloused_Hands-1-shot_4
74,4,1,Calloused_Hands-1-shot_4
75,4,1,Calloused_Hands-1-shot_4
76,4,1,Calloused_Hands-1-shot_4
77,4,1,Calloused_Hands-1-shot_4
78,4,1,Calloused_Hands-1-shot_4
79,4,1,Calloused_Hands-1-shot_4
80,5,1,Calloused_Hands-1-shot_5
81,5,1,Calloused_Hands-1-shot_5
82,5,1,Calloused_Hands-1-shot_5
83,5,1,Calloused_Hands-1-shot_5
84,5,1,Calloused_Hands-1-shot_5
85,5,1,Calloused_Hands-1-shot_5
86,5,1,Calloused_Hands-1-shot_5
87,5,1,Calloused_Hands-1-shot_5
88,5,1,Calloused_Hands-1-shot_5
89,5,1,Calloused_Hands-1-shot_5
90,5,1,Calloused_Hands-1-shot_5
91,5,1,Calloused_Hands-1-shot_5
92,5,1,Calloused_Hands-1-shot_5
93,5,1,Calloused_Hands-1-shot_5
94,5,1,Calloused_Hands-1-shot_5
95,5,1,Calloused_Hands-1-shot_5
96,5,1,Calloused_Hands-1-shot_5
97,5,1,Calloused_Hands-1-shot_5
98,5,1,Calloused_Hands-1-shot_5
99,5,1,Calloused_Hands-1-shot_5
100,5,1,Calloused_Hands-1-shot_5
101,5,1,Calloused_Hands-1-shot_5
102,5,1,Calloused_Hands-1-shot_5
103,5,1,Calloused_Hands-1-shot_5
104,5,1,Calloused_Hands-1-shot_5
105,5,1,Calloused_Hands-1-shot_5
106,5,1,Calloused_Hands-1-shot_5
107,5,1,Calloused_Hands-1-shot_5
108,5,1,Calloused_Hands-1-shot_5
109,5,1,Calloused_Hands-1-shot_5
110,5,1,Calloused_Hands-1-shot_5
111,5,1,Calloused_Hands-1-shot_5
112,5,1,Calloused_Hands-1-shot_5
113,5,1,Calloused_Hands-1-shot_5
114,5,1,Calloused_Hands-1-shot_5
115,5,1,Calloused_Hands-1-shot_5
116,5,1,Calloused_Hands-1-shot_5
117,5,1,Calloused_Hands-1-shot_5
118,5,1,Calloused_Hands-1-shot_5
119,5,1,Calloused_Hands-1-shot_5
120,5,1,Calloused_Hands-1-shot_5
121,5,1,Calloused_Hands-1-shot_5
122,5,1,Calloused_Hands-1-shot_5
123,5,1,Calloused_Hands-1-shot_5
124,5,1,Calloused_Hands-1-shot_5
125,5,1,Calloused_Hands-1-shot_5
126,5,1,Calloused_Hands-1-shot_5
127,5,1,Calloused_Hands-1-shot_5
128,5,1,Calloused_Hands-1-shot_5
129,5,1,Calloused_Hands-1-shot_5
130,5,1,Calloused_Hands-1-shot_5
131,5,1,Calloused_Hands-1-shot_5
132,5,1,Calloused_Hands-1-shot_5
133,5,1,Calloused_Hands-1-shot_5
134,5,1,Calloused_Hands-1-shot_5
