Person,Shot,Scene,Full
0,1,1,Liberty_Kid-1-shot_1
1,1,1,Liberty_Kid-1-shot_1
2,1,1,Liberty_Kid-1-shot_1
3,1,1,Liberty_Kid-1-shot_1
4,1,1,Liberty_Kid-1-shot_1
5,1,1,Liberty_Kid-1-shot_1
6,1,1,Liberty_Kid-1-shot_1
7,1,1,Liberty_Kid-1-shot_1
8,1,1,Liberty_Kid-1-shot_1
9,1,1,Liberty_Kid-1-shot_1
10,1,1,Liberty_Kid-1-shot_1
11,1,1,Liberty_Kid-1-shot_1
12,1,1,Liberty_Kid-1-shot_1
13,1,1,Liberty_Kid-1-shot_1
14,1,1,Liberty_Kid-1-shot_1
15,1,1,Liberty_Kid-1-shot_1
16,1,1,Liberty_Kid-1-shot_1
17,1,1,Liberty_Kid-1-shot_1
18,1,1,Liberty_Kid-1-shot_1
19,1,1,Liberty_Kid-1-shot_1
20,1,1,Liberty_Kid-1-shot_1
21,1,1,Liberty_Kid-1-shot_1
22,1,1,Liberty_Kid-1-shot_1
23,1,1,Liberty_Kid-1-shot_1
24,1,1,Liberty_Kid-1-shot_1
25,1,1,Liberty_Kid-1-shot_1
26,1,1,Liberty_Kid-1-shot_1
27,1,1,Liberty_Kid-1-shot_1
28,1,1,Liberty_Kid-1-shot_1
29,1,1,Liberty_Kid-1-shot_1
30,1,1,Liberty_Kid-1-shot_1
31,1,1,Liberty_Kid-1-shot_1
32,1,1,Liberty_Kid-1-shot_1
33,1,1,Liberty_Kid-1-shot_1
34,1,1,Liberty_Kid-1-shot_1
35,1,1,Liberty_Kid-1-shot_1
36,1,1,Liberty_Kid-1-shot_1
37,1,1,Liberty_Kid-1-shot_1
38,1,1,Liberty_Kid-1-shot_1
39,1,1,Liberty_Kid-1-shot_1
40,1,1,Liberty_Kid-1-shot_1
41,1,1,Liberty_Kid-1-shot_1
42,1,1,Liberty_Kid-1-shot_1
43,1,1,Liberty_Kid-1-shot_1
44,1,1,Liberty_Kid-1-shot_1
45,1,1,Liberty_Kid-1-shot_1
46,1,1,Liberty_Kid-1-shot_1
47,1,1,Liberty_Kid-1-shot_1
48,1,1,Liberty_Kid-1-shot_1
49,1,1,Liberty_Kid-1-shot_1
50,1,1,Liberty_Kid-1-shot_1
51,1,1,Liberty_Kid-1-shot_1
52,1,1,Liberty_Kid-1-shot_1
53,1,1,Liberty_Kid-1-shot_1
54,1,1,Liberty_Kid-1-shot_1
55,1,1,Liberty_Kid-1-shot_1
56,1,1,Liberty_Kid-1-shot_1
57,1,1,Liberty_Kid-1-shot_1
58,1,1,Liberty_Kid-1-shot_1
59,1,1,Liberty_Kid-1-shot_1
60,1,1,Liberty_Kid-1-shot_1
61,1,1,Liberty_Kid-1-shot_1
62,1,1,Liberty_Kid-1-shot_1
63,1,1,Liberty_Kid-1-shot_1
64,1,1,Liberty_Kid-1-shot_1
65,1,1,Liberty_Kid-1-shot_1
66,1,1,Liberty_Kid-1-shot_1
67,1,1,Liberty_Kid-1-shot_1
68,1,1,Liberty_Kid-1-shot_1
69,1,1,Liberty_Kid-1-shot_1
70,1,1,Liberty_Kid-1-shot_1
71,1,1,Liberty_Kid-1-shot_1
72,1,1,Liberty_Kid-1-shot_1
73,1,1,Liberty_Kid-1-shot_1
74,1,1,Liberty_Kid-1-shot_1
75,1,1,Liberty_Kid-1-shot_1
76,1,1,Liberty_Kid-1-shot_1
77,1,1,Liberty_Kid-1-shot_1
78,1,1,Liberty_Kid-1-shot_1
79,1,1,Liberty_Kid-1-shot_1
80,1,1,Liberty_Kid-1-shot_1
81,1,1,Liberty_Kid-1-shot_1
82,1,1,Liberty_Kid-1-shot_1
83,1,1,Liberty_Kid-1-shot_1
84,1,1,Liberty_Kid-1-shot_1
85,1,1,Liberty_Kid-1-shot_1
86,1,1,Liberty_Kid-1-shot_1
87,1,1,Liberty_Kid-1-shot_1
88,1,1,Liberty_Kid-1-shot_1
89,1,1,Liberty_Kid-1-shot_1
90,1,1,Liberty_Kid-1-shot_1
91,1,1,Liberty_Kid-1-shot_1
92,1,1,Liberty_Kid-1-shot_1
93,1,1,Liberty_Kid-1-shot_1
94,1,1,Liberty_Kid-1-shot_1
95,1,1,Liberty_Kid-1-shot_1
96,1,1,Liberty_Kid-1-shot_1
97,1,1,Liberty_Kid-1-shot_1
98,1,1,Liberty_Kid-1-shot_1
99,1,1,Liberty_Kid-1-shot_1
100,1,1,Liberty_Kid-1-shot_1
101,1,1,Liberty_Kid-1-shot_1
102,1,1,Liberty_Kid-1-shot_1
103,1,1,Liberty_Kid-1-shot_1
104,1,1,Liberty_Kid-1-shot_1
105,1,1,Liberty_Kid-1-shot_1
106,1,1,Liberty_Kid-1-shot_1
107,1,1,Liberty_Kid-1-shot_1
108,1,1,Liberty_Kid-1-shot_1
109,1,1,Liberty_Kid-1-shot_1
110,1,1,Liberty_Kid-1-shot_1
111,1,1,Liberty_Kid-1-shot_1
112,1,1,Liberty_Kid-1-shot_1
113,1,1,Liberty_Kid-1-shot_1
114,1,1,Liberty_Kid-1-shot_1
115,1,1,Liberty_Kid-1-shot_1
116,1,1,Liberty_Kid-1-shot_1
117,1,1,Liberty_Kid-1-shot_1
118,1,1,Liberty_Kid-1-shot_1
119,1,1,Liberty_Kid-1-shot_1
120,1,1,Liberty_Kid-1-shot_1
121,1,1,Liberty_Kid-1-shot_1
122,1,1,Liberty_Kid-1-shot_1
123,1,1,Liberty_Kid-1-shot_1
124,1,1,Liberty_Kid-1-shot_1
125,1,1,Liberty_Kid-1-shot_1
126,1,1,Liberty_Kid-1-shot_1
127,1,1,Liberty_Kid-1-shot_1
128,1,1,Liberty_Kid-1-shot_1
129,1,1,Liberty_Kid-1-shot_1
130,1,1,Liberty_Kid-1-shot_1
131,1,1,Liberty_Kid-1-shot_1
132,1,1,Liberty_Kid-1-shot_1
133,1,1,Liberty_Kid-1-shot_1
134,1,1,Liberty_Kid-1-shot_1
135,1,1,Liberty_Kid-1-shot_1
136,1,1,Liberty_Kid-1-shot_1
137,1,1,Liberty_Kid-1-shot_1
138,1,1,Liberty_Kid-1-shot_1
139,1,1,Liberty_Kid-1-shot_1
140,1,1,Liberty_Kid-1-shot_1
141,1,1,Liberty_Kid-1-shot_1
142,1,1,Liberty_Kid-1-shot_1
143,1,1,Liberty_Kid-1-shot_1
144,1,1,Liberty_Kid-1-shot_1
145,1,1,Liberty_Kid-1-shot_1
146,1,1,Liberty_Kid-1-shot_1
147,1,1,Liberty_Kid-1-shot_1
148,1,1,Liberty_Kid-1-shot_1
149,1,1,Liberty_Kid-1-shot_1
150,2,1,Liberty_Kid-1-shot_2
151,2,1,Liberty_Kid-1-shot_2
152,2,1,Liberty_Kid-1-shot_2
153,2,1,Liberty_Kid-1-shot_2
154,2,1,Liberty_Kid-1-shot_2
155,2,1,Liberty_Kid-1-shot_2
156,2,1,Liberty_Kid-1-shot_2
157,2,1,Liberty_Kid-1-shot_2
158,2,1,Liberty_Kid-1-shot_2
159,2,1,Liberty_Kid-1-shot_2
160,2,1,Liberty_Kid-1-shot_2
161,2,1,Liberty_Kid-1-shot_2
162,2,1,Liberty_Kid-1-shot_2
163,2,1,Liberty_Kid-1-shot_2
