Person,Shot,Scene,Full
0,1,1,Memphis-1-shot_1
1,1,1,Memphis-1-shot_1
2,1,1,Memphis-1-shot_1
3,1,1,Memphis-1-shot_1
4,1,1,Memphis-1-shot_1
5,1,1,Memphis-1-shot_1
6,1,1,Memphis-1-shot_1
7,1,1,Memphis-1-shot_1
8,1,1,Memphis-1-shot_1
9,1,1,Memphis-1-shot_1
10,1,1,Memphis-1-shot_1
11,1,1,Memphis-1-shot_1
12,1,1,Memphis-1-shot_1
13,1,1,Memphis-1-shot_1
14,1,1,Memphis-1-shot_1
15,1,1,Memphis-1-shot_1
16,1,1,Memphis-1-shot_1
17,1,1,Memphis-1-shot_1
18,1,1,Memphis-1-shot_1
19,1,1,Memphis-1-shot_1
20,1,1,Memphis-1-shot_1
21,1,1,Memphis-1-shot_1
22,1,1,Memphis-1-shot_1
23,1,1,Memphis-1-shot_1
24,1,1,Memphis-1-shot_1
25,1,1,Memphis-1-shot_1
26,1,1,Memphis-1-shot_1
27,1,1,Memphis-1-shot_1
28,1,1,Memphis-1-shot_1
29,1,1,Memphis-1-shot_1
30,1,1,Memphis-1-shot_1
31,1,1,Memphis-1-shot_1
32,1,1,Memphis-1-shot_1
33,1,1,Memphis-1-shot_1
34,1,1,Memphis-1-shot_1
35,1,1,Memphis-1-shot_1
36,1,1,Memphis-1-shot_1
37,1,1,Memphis-1-shot_1
38,1,1,Memphis-1-shot_1
39,1,1,Memphis-1-shot_1
40,1,1,Memphis-1-shot_1
41,1,1,Memphis-1-shot_1
42,1,1,Memphis-1-shot_1
43,1,1,Memphis-1-shot_1
44,1,1,Memphis-1-shot_1
45,1,1,Memphis-1-shot_1
46,1,1,Memphis-1-shot_1
47,1,1,Memphis-1-shot_1
48,1,1,Memphis-1-shot_1
49,1,1,Memphis-1-shot_1
50,1,1,Memphis-1-shot_1
51,1,1,Memphis-1-shot_1
52,1,1,Memphis-1-shot_1
53,1,1,Memphis-1-shot_1
54,1,1,Memphis-1-shot_1
55,1,1,Memphis-1-shot_1
56,1,1,Memphis-1-shot_1
57,1,1,Memphis-1-shot_1
58,1,1,Memphis-1-shot_1
59,1,1,Memphis-1-shot_1
60,1,1,Memphis-1-shot_1
61,1,1,Memphis-1-shot_1
62,1,1,Memphis-1-shot_1
63,1,1,Memphis-1-shot_1
64,1,1,Memphis-1-shot_1
65,1,1,Memphis-1-shot_1
66,1,1,Memphis-1-shot_1
67,1,1,Memphis-1-shot_1
68,1,1,Memphis-1-shot_1
69,1,1,Memphis-1-shot_1
70,1,1,Memphis-1-shot_1
71,1,1,Memphis-1-shot_1
72,1,1,Memphis-1-shot_1
73,1,1,Memphis-1-shot_1
74,1,1,Memphis-1-shot_1
75,1,1,Memphis-1-shot_1
76,1,1,Memphis-1-shot_1
77,1,1,Memphis-1-shot_1
78,1,1,Memphis-1-shot_1
