Person,Shot,Scene,Full
0,1,1,losing_ground-1-shot_1
1,1,1,losing_ground-1-shot_1
2,1,1,losing_ground-1-shot_1
3,1,1,losing_ground-1-shot_1
4,1,1,losing_ground-1-shot_1
5,1,1,losing_ground-1-shot_1
6,1,1,losing_ground-1-shot_1
7,1,1,losing_ground-1-shot_1
8,1,1,losing_ground-1-shot_1
9,1,1,losing_ground-1-shot_1
10,1,1,losing_ground-1-shot_1
11,1,1,losing_ground-1-shot_1
12,1,1,losing_ground-1-shot_1
13,1,1,losing_ground-1-shot_1
14,1,1,losing_ground-1-shot_1
15,1,1,losing_ground-1-shot_1
16,1,1,losing_ground-1-shot_1
17,1,1,losing_ground-1-shot_1
18,1,1,losing_ground-1-shot_1
19,1,1,losing_ground-1-shot_1
20,1,1,losing_ground-1-shot_1
21,1,1,losing_ground-1-shot_1
22,1,1,losing_ground-1-shot_1
23,1,1,losing_ground-1-shot_1
24,1,1,losing_ground-1-shot_1
25,1,1,losing_ground-1-shot_1
26,1,1,losing_ground-1-shot_1
27,1,1,losing_ground-1-shot_1
28,1,1,losing_ground-1-shot_1
29,1,1,losing_ground-1-shot_1
30,1,1,losing_ground-1-shot_1
31,1,1,losing_ground-1-shot_1
32,1,1,losing_ground-1-shot_1
33,1,1,losing_ground-1-shot_1
34,1,1,losing_ground-1-shot_1
35,1,1,losing_ground-1-shot_1
36,1,1,losing_ground-1-shot_1
37,1,1,losing_ground-1-shot_1
38,1,1,losing_ground-1-shot_1
39,1,1,losing_ground-1-shot_1
40,1,1,losing_ground-1-shot_1
41,1,1,losing_ground-1-shot_1
42,1,1,losing_ground-1-shot_1
43,1,1,losing_ground-1-shot_1
44,1,1,losing_ground-1-shot_1
45,1,1,losing_ground-1-shot_1
46,1,1,losing_ground-1-shot_1
47,1,1,losing_ground-1-shot_1
48,1,1,losing_ground-1-shot_1
49,1,1,losing_ground-1-shot_1
50,1,1,losing_ground-1-shot_1
51,1,1,losing_ground-1-shot_1
52,1,1,losing_ground-1-shot_1
53,1,1,losing_ground-1-shot_1
54,1,1,losing_ground-1-shot_1
55,1,1,losing_ground-1-shot_1
56,1,1,losing_ground-1-shot_1
57,1,1,losing_ground-1-shot_1
58,1,1,losing_ground-1-shot_1
59,1,1,losing_ground-1-shot_1
60,1,1,losing_ground-1-shot_1
61,1,1,losing_ground-1-shot_1
62,1,1,losing_ground-1-shot_1
63,1,1,losing_ground-1-shot_1
64,1,1,losing_ground-1-shot_1
65,1,1,losing_ground-1-shot_1
66,1,1,losing_ground-1-shot_1
67,1,1,losing_ground-1-shot_1
68,1,1,losing_ground-1-shot_1
69,1,1,losing_ground-1-shot_1
70,1,1,losing_ground-1-shot_1
71,1,1,losing_ground-1-shot_1
72,1,1,losing_ground-1-shot_1
73,1,1,losing_ground-1-shot_1
74,1,1,losing_ground-1-shot_1
75,2,1,losing_ground-1-shot_2
76,2,1,losing_ground-1-shot_2
77,2,1,losing_ground-1-shot_2
78,2,1,losing_ground-1-shot_2
79,2,1,losing_ground-1-shot_2
80,2,1,losing_ground-1-shot_2
81,2,1,losing_ground-1-shot_2
82,2,1,losing_ground-1-shot_2
83,2,1,losing_ground-1-shot_2
84,2,1,losing_ground-1-shot_2
85,2,1,losing_ground-1-shot_2
86,2,1,losing_ground-1-shot_2
87,2,1,losing_ground-1-shot_2
88,2,1,losing_ground-1-shot_2
89,2,1,losing_ground-1-shot_2
90,2,1,losing_ground-1-shot_2
91,2,1,losing_ground-1-shot_2
92,2,1,losing_ground-1-shot_2
93,2,1,losing_ground-1-shot_2
94,2,1,losing_ground-1-shot_2
95,2,1,losing_ground-1-shot_2
96,2,1,losing_ground-1-shot_2
97,2,1,losing_ground-1-shot_2
98,2,1,losing_ground-1-shot_2
99,2,1,losing_ground-1-shot_2
100,2,1,losing_ground-1-shot_2
101,2,1,losing_ground-1-shot_2
102,2,1,losing_ground-1-shot_2
103,2,1,losing_ground-1-shot_2
104,2,1,losing_ground-1-shot_2
105,2,1,losing_ground-1-shot_2
106,2,1,losing_ground-1-shot_2
107,2,1,losing_ground-1-shot_2
108,2,1,losing_ground-1-shot_2
109,2,1,losing_ground-1-shot_2
110,2,1,losing_ground-1-shot_2
111,2,1,losing_ground-1-shot_2
112,2,1,losing_ground-1-shot_2
113,2,1,losing_ground-1-shot_2
114,2,1,losing_ground-1-shot_2
115,2,1,losing_ground-1-shot_2
116,2,1,losing_ground-1-shot_2
117,2,1,losing_ground-1-shot_2
118,2,1,losing_ground-1-shot_2
119,2,1,losing_ground-1-shot_2
120,2,1,losing_ground-1-shot_2
121,2,1,losing_ground-1-shot_2
122,2,1,losing_ground-1-shot_2
123,2,1,losing_ground-1-shot_2
124,2,1,losing_ground-1-shot_2
125,2,1,losing_ground-1-shot_2
126,2,1,losing_ground-1-shot_2
127,2,1,losing_ground-1-shot_2
128,2,1,losing_ground-1-shot_2
129,2,1,losing_ground-1-shot_2
130,2,1,losing_ground-1-shot_2
131,2,1,losing_ground-1-shot_2
132,2,1,losing_ground-1-shot_2
133,2,1,losing_ground-1-shot_2
134,2,1,losing_ground-1-shot_2
135,2,1,losing_ground-1-shot_2
136,2,1,losing_ground-1-shot_2
137,2,1,losing_ground-1-shot_2
138,2,1,losing_ground-1-shot_2
139,2,1,losing_ground-1-shot_2
140,2,1,losing_ground-1-shot_2
141,2,1,losing_ground-1-shot_2
142,2,1,losing_ground-1-shot_2
143,2,1,losing_ground-1-shot_2
144,2,1,losing_ground-1-shot_2
145,2,1,losing_ground-1-shot_2
146,2,1,losing_ground-1-shot_2
147,2,1,losing_ground-1-shot_2
148,2,1,losing_ground-1-shot_2
149,2,1,losing_ground-1-shot_2
150,2,1,losing_ground-1-shot_2
151,2,1,losing_ground-1-shot_2
152,2,1,losing_ground-1-shot_2
153,2,1,losing_ground-1-shot_2
154,2,1,losing_ground-1-shot_2
155,2,1,losing_ground-1-shot_2
156,2,1,losing_ground-1-shot_2
157,2,1,losing_ground-1-shot_2
158,2,1,losing_ground-1-shot_2
159,2,1,losing_ground-1-shot_2
160,2,1,losing_ground-1-shot_2
161,2,1,losing_ground-1-shot_2
162,2,1,losing_ground-1-shot_2
163,2,1,losing_ground-1-shot_2
164,2,1,losing_ground-1-shot_2
165,2,1,losing_ground-1-shot_2
166,2,1,losing_ground-1-shot_2
167,2,1,losing_ground-1-shot_2
168,2,1,losing_ground-1-shot_2
169,2,1,losing_ground-1-shot_2
170,2,1,losing_ground-1-shot_2
171,2,1,losing_ground-1-shot_2
172,2,1,losing_ground-1-shot_2
173,2,1,losing_ground-1-shot_2
174,2,1,losing_ground-1-shot_2
175,2,1,losing_ground-1-shot_2
176,2,1,losing_ground-1-shot_2
177,2,1,losing_ground-1-shot_2
178,2,1,losing_ground-1-shot_2
179,2,1,losing_ground-1-shot_2
180,2,1,losing_ground-1-shot_2
181,2,1,losing_ground-1-shot_2
182,2,1,losing_ground-1-shot_2
183,2,1,losing_ground-1-shot_2
184,2,1,losing_ground-1-shot_2
185,2,1,losing_ground-1-shot_2
186,2,1,losing_ground-1-shot_2
187,2,1,losing_ground-1-shot_2
188,2,1,losing_ground-1-shot_2
189,2,1,losing_ground-1-shot_2
190,2,1,losing_ground-1-shot_2
191,2,1,losing_ground-1-shot_2
192,2,1,losing_ground-1-shot_2
193,2,1,losing_ground-1-shot_2
194,2,1,losing_ground-1-shot_2
195,2,1,losing_ground-1-shot_2
196,2,1,losing_ground-1-shot_2
197,2,1,losing_ground-1-shot_2
198,2,1,losing_ground-1-shot_2
199,2,1,losing_ground-1-shot_2
200,2,1,losing_ground-1-shot_2
201,2,1,losing_ground-1-shot_2
202,2,1,losing_ground-1-shot_2
203,2,1,losing_ground-1-shot_2
204,2,1,losing_ground-1-shot_2
205,2,1,losing_ground-1-shot_2
206,2,1,losing_ground-1-shot_2
207,2,1,losing_ground-1-shot_2
208,2,1,losing_ground-1-shot_2
209,2,1,losing_ground-1-shot_2
210,2,1,losing_ground-1-shot_2
211,2,1,losing_ground-1-shot_2
212,2,1,losing_ground-1-shot_2
213,2,1,losing_ground-1-shot_2
214,2,1,losing_ground-1-shot_2
215,2,1,losing_ground-1-shot_2
216,2,1,losing_ground-1-shot_2
217,2,1,losing_ground-1-shot_2
218,2,1,losing_ground-1-shot_2
219,2,1,losing_ground-1-shot_2
220,2,1,losing_ground-1-shot_2
221,2,1,losing_ground-1-shot_2
222,2,1,losing_ground-1-shot_2
223,2,1,losing_ground-1-shot_2
224,2,1,losing_ground-1-shot_2
225,2,1,losing_ground-1-shot_2
226,2,1,losing_ground-1-shot_2
227,2,1,losing_ground-1-shot_2
228,2,1,losing_ground-1-shot_2
229,2,1,losing_ground-1-shot_2
230,2,1,losing_ground-1-shot_2
231,2,1,losing_ground-1-shot_2
232,2,1,losing_ground-1-shot_2
233,2,1,losing_ground-1-shot_2
234,2,1,losing_ground-1-shot_2
235,2,1,losing_ground-1-shot_2
236,2,1,losing_ground-1-shot_2
237,2,1,losing_ground-1-shot_2
238,2,1,losing_ground-1-shot_2
239,2,1,losing_ground-1-shot_2
240,2,1,losing_ground-1-shot_2
241,2,1,losing_ground-1-shot_2
242,2,1,losing_ground-1-shot_2
243,2,1,losing_ground-1-shot_2
244,2,1,losing_ground-1-shot_2
245,2,1,losing_ground-1-shot_2
246,2,1,losing_ground-1-shot_2
247,2,1,losing_ground-1-shot_2
248,2,1,losing_ground-1-shot_2
249,2,1,losing_ground-1-shot_2
250,2,1,losing_ground-1-shot_2
251,2,1,losing_ground-1-shot_2
252,2,1,losing_ground-1-shot_2
253,2,1,losing_ground-1-shot_2
254,2,1,losing_ground-1-shot_2
255,2,1,losing_ground-1-shot_2
256,2,1,losing_ground-1-shot_2
257,2,1,losing_ground-1-shot_2
258,2,1,losing_ground-1-shot_2
259,2,1,losing_ground-1-shot_2
260,2,1,losing_ground-1-shot_2
261,2,1,losing_ground-1-shot_2
262,2,1,losing_ground-1-shot_2
263,2,1,losing_ground-1-shot_2
264,2,1,losing_ground-1-shot_2
265,2,1,losing_ground-1-shot_2
266,2,1,losing_ground-1-shot_2
267,2,1,losing_ground-1-shot_2
268,2,1,losing_ground-1-shot_2
269,2,1,losing_ground-1-shot_2
270,2,1,losing_ground-1-shot_2
271,2,1,losing_ground-1-shot_2
272,2,1,losing_ground-1-shot_2
273,2,1,losing_ground-1-shot_2
274,2,1,losing_ground-1-shot_2
275,2,1,losing_ground-1-shot_2
276,2,1,losing_ground-1-shot_2
277,2,1,losing_ground-1-shot_2
278,2,1,losing_ground-1-shot_2
279,2,1,losing_ground-1-shot_2
280,2,1,losing_ground-1-shot_2
281,2,1,losing_ground-1-shot_2
282,2,1,losing_ground-1-shot_2
283,2,1,losing_ground-1-shot_2
284,2,1,losing_ground-1-shot_2
