person_count,shot
0,like_me-1-shot_0
1,like_me-1-shot_0
2,like_me-1-shot_0
3,like_me-1-shot_0
4,like_me-1-shot_0
5,like_me-1-shot_0
6,like_me-1-shot_0
7,like_me-1-shot_0
8,like_me-1-shot_0
9,like_me-1-shot_0
10,like_me-1-shot_0
11,like_me-1-shot_0
12,like_me-1-shot_0
13,like_me-1-shot_0
14,like_me-1-shot_0
15,like_me-1-shot_0
16,like_me-1-shot_0
17,like_me-1-shot_0
18,like_me-1-shot_0
19,like_me-1-shot_0
20,like_me-1-shot_0
21,like_me-1-shot_0
22,like_me-1-shot_0
23,like_me-1-shot_0
24,like_me-1-shot_0
25,like_me-1-shot_0
26,like_me-1-shot_0
27,like_me-1-shot_0
28,like_me-1-shot_0
29,like_me-1-shot_0
30,like_me-1-shot_0
31,like_me-1-shot_0
32,like_me-1-shot_0
33,like_me-1-shot_0
34,like_me-1-shot_0
35,like_me-1-shot_0
36,like_me-1-shot_0
37,like_me-1-shot_0
38,like_me-1-shot_0
39,like_me-1-shot_0
40,like_me-1-shot_0
41,like_me-1-shot_0
42,like_me-1-shot_0
43,like_me-1-shot_0
44,like_me-1-shot_0
45,like_me-1-shot_0
46,like_me-1-shot_0
47,like_me-1-shot_0
48,like_me-1-shot_0
49,like_me-1-shot_0
50,like_me-1-shot_0
51,like_me-1-shot_0
52,like_me-1-shot_0
53,like_me-1-shot_0
54,like_me-1-shot_0
55,like_me-1-shot_0
56,like_me-1-shot_0
57,like_me-1-shot_0
58,like_me-1-shot_0
59,like_me-1-shot_0
60,like_me-1-shot_0
61,like_me-1-shot_0
62,like_me-1-shot_0
63,like_me-1-shot_0
64,like_me-1-shot_0
65,like_me-1-shot_0
66,like_me-1-shot_0
67,like_me-1-shot_0
68,like_me-1-shot_0
69,like_me-1-shot_0
70,like_me-1-shot_0
71,like_me-1-shot_0
72,like_me-1-shot_0
73,like_me-1-shot_0
74,like_me-1-shot_0
75,like_me-1-shot_0
76,like_me-1-shot_0
77,like_me-1-shot_0
78,like_me-1-shot_0
79,like_me-1-shot_0
80,like_me-1-shot_0
81,like_me-1-shot_0
82,like_me-1-shot_0
83,like_me-1-shot_0
84,like_me-1-shot_0
85,like_me-1-shot_0
86,like_me-1-shot_0
87,like_me-1-shot_0
88,like_me-1-shot_0
89,like_me-1-shot_0
90,like_me-1-shot_0
91,like_me-1-shot_0
92,like_me-1-shot_0
93,like_me-1-shot_0
94,like_me-1-shot_0
95,like_me-1-shot_0
96,like_me-1-shot_0
97,like_me-1-shot_0
98,like_me-1-shot_0
99,like_me-1-shot_0
100,like_me-1-shot_0
101,like_me-1-shot_0
102,like_me-1-shot_0
103,like_me-1-shot_0
104,like_me-1-shot_0
105,like_me-1-shot_0
106,like_me-1-shot_0
107,like_me-1-shot_0
108,like_me-1-shot_0
109,like_me-1-shot_0
110,like_me-1-shot_0
111,like_me-1-shot_0
112,like_me-1-shot_0
113,like_me-1-shot_0
114,like_me-1-shot_0
115,like_me-1-shot_0
116,like_me-1-shot_0
117,like_me-1-shot_0
118,like_me-1-shot_0
119,like_me-1-shot_0
120,like_me-1-shot_0
121,like_me-1-shot_0
122,like_me-1-shot_0
123,like_me-1-shot_0
124,like_me-1-shot_0
125,like_me-1-shot_0
126,like_me-1-shot_0
127,like_me-1-shot_0
128,like_me-1-shot_0
129,like_me-1-shot_0
130,like_me-1-shot_0
131,like_me-1-shot_0
132,like_me-1-shot_0
133,like_me-1-shot_0
134,like_me-1-shot_0
135,like_me-1-shot_0
136,like_me-1-shot_0
137,like_me-1-shot_0
138,like_me-1-shot_0
139,like_me-1-shot_0
140,like_me-1-shot_0
141,like_me-1-shot_0
142,like_me-1-shot_0
143,like_me-1-shot_0
144,like_me-1-shot_0
145,like_me-1-shot_0
146,like_me-1-shot_0
147,like_me-1-shot_0
148,like_me-1-shot_0
149,like_me-1-shot_0
150,like_me-1-shot_0
151,like_me-1-shot_0
152,like_me-1-shot_0
153,like_me-1-shot_0
154,like_me-1-shot_0
155,like_me-1-shot_0
156,like_me-1-shot_0
157,like_me-1-shot_0
158,like_me-1-shot_0
159,like_me-1-shot_0
160,like_me-1-shot_0
161,like_me-1-shot_0
162,like_me-1-shot_0
163,like_me-1-shot_0
164,like_me-1-shot_0
165,like_me-1-shot_0
166,like_me-1-shot_0
167,like_me-1-shot_1
168,like_me-1-shot_1
169,like_me-1-shot_1
170,like_me-1-shot_1
171,like_me-1-shot_1
172,like_me-1-shot_1
173,like_me-1-shot_1
174,like_me-1-shot_1
175,like_me-1-shot_1
176,like_me-1-shot_1
177,like_me-1-shot_1
178,like_me-1-shot_1
179,like_me-1-shot_1
180,like_me-1-shot_1
181,like_me-1-shot_1
182,like_me-1-shot_1
183,like_me-1-shot_1
184,like_me-1-shot_1
185,like_me-1-shot_1
186,like_me-1-shot_1
187,like_me-1-shot_1
188,like_me-1-shot_1
189,like_me-1-shot_1
190,like_me-1-shot_1
191,like_me-1-shot_1
192,like_me-1-shot_1
193,like_me-1-shot_1
194,like_me-1-shot_1
195,like_me-1-shot_1
196,like_me-1-shot_1
198,like_me-1-shot_1
317,like_me-1-shot_1
318,like_me-1-shot_1
319,like_me-1-shot_1
320,like_me-1-shot_1
321,like_me-1-shot_1
322,like_me-1-shot_1
323,like_me-1-shot_1
324,like_me-1-shot_1
325,like_me-1-shot_1
326,like_me-1-shot_1
