person_count,shot
197,like_me-1-shot_1
199,like_me-1-shot_1
200,like_me-1-shot_1
201,like_me-1-shot_1
202,like_me-1-shot_1
203,like_me-1-shot_1
204,like_me-1-shot_1
205,like_me-1-shot_1
206,like_me-1-shot_1
207,like_me-1-shot_1
208,like_me-1-shot_1
209,like_me-1-shot_1
210,like_me-1-shot_1
211,like_me-1-shot_1
212,like_me-1-shot_1
213,like_me-1-shot_1
214,like_me-1-shot_1
215,like_me-1-shot_1
216,like_me-1-shot_1
217,like_me-1-shot_1
218,like_me-1-shot_1
219,like_me-1-shot_1
220,like_me-1-shot_1
221,like_me-1-shot_1
222,like_me-1-shot_1
223,like_me-1-shot_1
224,like_me-1-shot_1
225,like_me-1-shot_1
226,like_me-1-shot_1
227,like_me-1-shot_1
228,like_me-1-shot_1
229,like_me-1-shot_1
230,like_me-1-shot_1
231,like_me-1-shot_1
232,like_me-1-shot_1
233,like_me-1-shot_1
234,like_me-1-shot_1
235,like_me-1-shot_1
236,like_me-1-shot_1
237,like_me-1-shot_1
238,like_me-1-shot_1
239,like_me-1-shot_1
240,like_me-1-shot_1
241,like_me-1-shot_1
242,like_me-1-shot_1
243,like_me-1-shot_1
244,like_me-1-shot_1
245,like_me-1-shot_1
246,like_me-1-shot_1
247,like_me-1-shot_1
248,like_me-1-shot_1
249,like_me-1-shot_1
250,like_me-1-shot_1
251,like_me-1-shot_1
252,like_me-1-shot_1
253,like_me-1-shot_1
254,like_me-1-shot_1
255,like_me-1-shot_1
256,like_me-1-shot_1
257,like_me-1-shot_1
258,like_me-1-shot_1
259,like_me-1-shot_1
260,like_me-1-shot_1
261,like_me-1-shot_1
262,like_me-1-shot_1
263,like_me-1-shot_1
264,like_me-1-shot_1
265,like_me-1-shot_1
266,like_me-1-shot_1
267,like_me-1-shot_1
268,like_me-1-shot_1
269,like_me-1-shot_1
270,like_me-1-shot_1
271,like_me-1-shot_1
272,like_me-1-shot_1
273,like_me-1-shot_1
274,like_me-1-shot_1
275,like_me-1-shot_1
276,like_me-1-shot_1
277,like_me-1-shot_1
278,like_me-1-shot_1
279,like_me-1-shot_1
280,like_me-1-shot_1
281,like_me-1-shot_1
282,like_me-1-shot_1
283,like_me-1-shot_1
284,like_me-1-shot_1
285,like_me-1-shot_1
286,like_me-1-shot_1
287,like_me-1-shot_1
288,like_me-1-shot_1
289,like_me-1-shot_1
290,like_me-1-shot_1
291,like_me-1-shot_1
292,like_me-1-shot_1
293,like_me-1-shot_1
294,like_me-1-shot_1
295,like_me-1-shot_1
296,like_me-1-shot_1
297,like_me-1-shot_1
298,like_me-1-shot_1
299,like_me-1-shot_1
300,like_me-1-shot_1
301,like_me-1-shot_1
302,like_me-1-shot_1
303,like_me-1-shot_1
304,like_me-1-shot_1
305,like_me-1-shot_1
306,like_me-1-shot_1
307,like_me-1-shot_1
